combination,curvature,saturation,transparency
type 1,Curvilinear,Corlorful,Transparent
type 2,Curvilinear,Corlorful,Translucent
type 3,Curvilinear,Corlorful,Opaque
type 4,Curvilinear,Muted,Transparent
type 5,Curvilinear,Muted,Translucent
type 6,Curvilinear,Muted,Opaque
type 7,Curvilinear,Greyscale,Transparent
type 8,Curvilinear,Greyscale,Translucent
type 9,Curvilinear,Greyscale,Opaque
type 10,Moderate,Corlorful,Transparent
type 11,Moderate,Corlorful,Translucent
type 12,Moderate,Corlorful,Opaque
type 13,Moderate,Muted,Transparent
type 14,Moderate,Muted,Translucent
type 15,Moderate,Muted,Opaque
type 16,Moderate,Greyscale,Transparent
type 17,Moderate,Greyscale,Translucent
type 18,Moderate,Greyscale,Opaque
type 19,Rectilinear,Corlorful,Transparent
type 20,Rectilinear,Corlorful,Translucent
type 21,Rectilinear,Corlorful,Opaque
type 22,Rectilinear,Muted,Transparent
type 23,Rectilinear,Muted,Translucent
type 24,Rectilinear,Muted,Opaque
type 25,Rectilinear,Greyscale,Transparent
type 26,Rectilinear,Greyscale,Translucent
type 27,Rectilinear,Greyscale,Opaque
