Name,vf1,consistency vf1,vf2,consistency vf2,vf3,consistency vf3,vf4,consistency vf4,mu,sigma,df+,df-
Dior Building Omotesando (1),0.11,0.00,0.01,0.00,1.00,0.00,0.42,0.00,0.39,0.39,vf3,
Dior Building Omotesando (2),0.14,0.00,0.01,0.00,1.00,0.00,0.72,0.00,0.47,0.41,vf3,vf2
Dior Building Omotesando (3),0.07,0.00,0.02,0.00,0.93,0.00,0.63,0.00,0.41,0.38,vf3,vf2
Dior Building Omotesando (4),0.14,0.00,0.01,0.00,0.93,0.00,0.67,0.00,0.44,0.38,vf3,vf2
Dior Building Omotesando (5),0.11,0.00,0.00,0.00,0.91,0.00,0.67,0.00,0.42,0.38,vf3,vf2
Dior Building Omotesando (6),0.08,0.00,0.01,0.00,0.95,0.00,0.63,0.00,0.42,0.39,vf3,vf2
Dior Building Omotesando (7),0.19,0.00,0.01,0.00,0.95,0.00,0.84,0.00,0.50,0.41,vf3,vf2
Dior Building Omotesando (8),0.19,0.00,0.01,0.00,0.94,0.00,0.45,0.00,0.40,0.35,vf3,vf2
Dior Building Omotesando (9),0.11,0.00,0.01,0.00,0.95,0.00,0.82,0.00,0.47,0.42,vf3,vf2
Dior Building Omotesando (10),0.07,0.00,0.02,0.00,0.99,0.00,0.78,0.00,0.46,0.43,vf3,vf2
Dior Building Omotesando (11),0.10,0.00,0.01,0.00,0.97,0.00,0.76,0.00,0.46,0.41,vf3,vf2
Dior Building Omotesando (12),0.13,0.00,0.02,0.00,0.99,0.00,0.70,0.00,0.46,0.40,vf3,vf2
Dior Building Omotesando (13),0.09,0.00,0.00,0.00,0.94,0.00,0.84,0.00,0.47,0.42,vf3,vf2
Dior Building Omotesando (14),0.14,0.00,0.01,0.00,0.97,0.00,0.68,0.00,0.45,0.39,vf3,vf2
Dior Building Omotesando (15),0.19,0.00,0.02,0.00,0.97,0.00,0.80,0.00,0.49,0.40,vf3,vf2
Dior Building Omotesando (16),0.08,0.00,0.00,0.00,0.93,0.00,0.78,0.00,0.45,0.41,vf3,vf2
Dior Building Omotesando (17),0.16,0.00,0.02,0.00,0.96,0.00,0.68,0.00,0.45,0.38,vf3,vf2
Dior Building Omotesando (18),0.06,0.00,0.02,0.00,0.99,0.00,0.61,0.00,0.42,0.40,vf3,vf2
Dior Building Omotesando (19),0.13,0.00,0.00,0.00,0.88,0.00,0.82,0.00,0.46,0.40,vf3,vf2
Dior Building Omotesando (20),0.08,0.00,0.01,0.00,0.95,0.00,0.65,0.00,0.42,0.39,vf3,vf2
Dior Building Omotesando (21),0.08,0.00,0.02,0.00,1.00,0.00,0.44,0.00,0.39,0.39,vf3,
Dior Building Omotesando (22),0.15,0.00,0.02,0.00,0.90,0.00,0.41,0.00,0.37,0.34,vf3,vf2
Dior Building Omotesando (23),0.09,0.00,0.10,0.00,1.00,0.00,0.70,0.00,0.47,0.39,vf3,
Dior Building Omotesando (24),0.10,0.00,0.01,0.00,0.99,0.00,0.88,0.00,0.49,0.44,vf3,vf2
