Style,curvature,c-std.dev,c-classification,saturation,s-std.dev,s-classification,transparency,t-std.dev,t-classification,symmetry,sm-std.dev,sm-classification,combination
Dior Building Omotesando (1),0.059,0.059,rectilinear,0.01,0.01,greyscale,1.00,1.00,transparent,0.422,0.422,Tokyo Japan,2004
Dior Building Omotesando (2),0.130,0.130,rectilinear,0.01,0.01,greyscale,1.00,1.00,transparent,0.7246,0.7246,Tokyo Japan,2004
Dior Building Omotesando (3),0.077,0.077,rectilinear,0.02,0.02,greyscale,0.93,0.93,transparent,0.6348,0.6348,Tokyo Japan,2004
Dior Building Omotesando (4),0.183,0.183,rectilinear,0.01,0.01,greyscale,0.93,0.93,transparent,0.6661,0.6661,Tokyo Japan,2004
Dior Building Omotesando (5),0.094,0.094,rectilinear,0.00,0.00,greyscale,0.91,0.91,transparent,0.6706,0.6706,Tokyo Japan,2004
Dior Building Omotesando (6),0.100,0.100,rectilinear,0.01,0.01,greyscale,0.95,0.95,transparent,0.6254,0.6254,Tokyo Japan,2004
Dior Building Omotesando (7),0.148,0.148,rectilinear,0.01,0.01,greyscale,0.95,0.95,transparent,0.8387,0.8387,Tokyo Japan,2004
Dior Building Omotesando (8),0.071,0.071,rectilinear,0.01,0.01,greyscale,0.94,0.94,transparent,0.4478,0.4478,Tokyo Japan,2004
Dior Building Omotesando (9),0.118,0.118,rectilinear,0.01,0.01,greyscale,0.95,0.95,transparent,0.8238,0.8238,Tokyo Japan,2004
Dior Building Omotesando (10),0.090,0.090,rectilinear,0.02,0.02,greyscale,0.99,0.99,transparent,0.7797,0.7797,Tokyo Japan,2004
Dior Building Omotesando (11),0.106,0.106,rectilinear,0.01,0.01,greyscale,0.97,0.97,transparent,0.7604,0.7604,Tokyo Japan,2004
Dior Building Omotesando (12),0.083,0.083,rectilinear,0.02,0.02,greyscale,0.99,0.99,transparent,0.6981,0.6981,Tokyo Japan,2004
Dior Building Omotesando (13),0.171,0.171,rectilinear,0.00,0.00,greyscale,0.94,0.94,transparent,0.8393,0.8393,Tokyo Japan,2004
Dior Building Omotesando (14),0.177,0.177,rectilinear,0.01,0.01,greyscale,0.97,0.97,transparent,0.6845,0.6845,Tokyo Japan,2004
Dior Building Omotesando (15),0.166,0.166,rectilinear,0.02,0.02,greyscale,0.97,0.97,transparent,0.7954,0.7954,Tokyo Japan,2004
Dior Building Omotesando (16),0.089,0.089,rectilinear,0.00,0.00,greyscale,0.93,0.93,transparent,0.7821,0.7821,Tokyo Japan,2004
Dior Building Omotesando (17),0.154,0.154,rectilinear,0.02,0.02,greyscale,0.96,0.96,transparent,0.6766,0.6766,Tokyo Japan,2004
Dior Building Omotesando (18),0.112,0.112,rectilinear,0.02,0.02,greyscale,0.99,0.99,transparent,0.6069,0.6069,Tokyo Japan,2004
Dior Building Omotesando (19),0.142,0.142,rectilinear,0.00,0.00,greyscale,0.88,0.88,transparent,0.8177,0.8177,Tokyo Japan,2004
Dior Building Omotesando (20),0.136,0.136,rectilinear,0.01,0.01,greyscale,0.95,0.95,transparent,0.645,0.645,Tokyo Japan,2004
Dior Building Omotesando (21),0.065,0.065,rectilinear,0.02,0.02,greyscale,1.00,1.00,transparent,0.4351,0.4351,Tokyo Japan,2004
Dior Building Omotesando (22),0.124,0.124,rectilinear,0.02,0.02,greyscale,0.90,0.90,transparent,0.4071,0.4071,Tokyo Japan,2004
Dior Building Omotesando (23),0.053,0.053,rectilinear,0.10,0.10,greyscale,1.00,1.00,transparent,0.697,0.697,Tokyo Japan,2004
Dior Building Omotesando (24),0.160,0.160,rectilinear,0.01,0.01,greyscale,0.99,0.99,transparent,0.8755,0.8755,Tokyo Japan,2004
